"movie_name","title","reviewer","review","date","ratings"
"The Gentelmen","Ritchie returns to the crime genre and does so masterfully","jtindahouse","Has there ever been a bad performance in a Guy Ritchie movie? If there has I haven't noticed it. He has an ornate ability to take average actors and make them great, and to take already great actors and get even more out of them. There are a few directors around who specialise in this but Ritchie is right near the top. The cast in 'The Gentlemen' is admittedly fantastic, but it doesn't change the fact that they are an absolute treat to watch. Matthew McConaughey is in his element in a role that he was born to play, Charlie Hunnam plays one of the coolest characters I've seen perfectly, Colin Farrell is hilarious and ridiculously cool as well and then Hugh Grant gives one of the best performances I've ever seen from him. In fact Grant was so good I didn't even recognise his voice and had to wonder if they'd dubbed it. They hadn't, he'd just nailed it.The style this movie possesses is just so much fun to watch. If you've seen any of Ritchie's previous similar films ('Lock, Stock and Two Smoking Barrels', 'Snatch', 'RocknRolla') then you know what I'm talking about. The pacing moves at lightning speed, the dialogue is quick, clever and deeper than you first realise and the conflict is always multi-layered. This one is actually told in quite a unique way with a couple of characters going over events that have already happened and it works masterfully. It breaks the story up and gives room for creativity in the story-telling process and also humour.Every time I see that Ritchie has made a movie that isn't a crime-thriller I get a little disappointed. It's not that the other stuff he's doing is bad ('Swept Away' being an obvious exception), it's just that he is so damn good as this style of movie. He's the best in the business and if he only did these for the rest of his career I'd be a very happy man. This is an excellent movie well worth your time and money.","13 September 2020","9/10"
"The Gentelmen","That's Hugh Grant?! It seems so unlike him in his other films!","planktonrules","Aside from a few very marketable films like ""Sherlock Holmes: A Game of Shadows"" and ""Aladdin"", Guy Ritchie is a writer/director who makes incredibly violent films. That is, incredibly violent films which are also brilliantly constructed and near perfect. While I rarely ever watch violent films, I eagerly look for his next dark British crime film, after seeing his ""Lock, Stock and Two Smoking Barrels"" and ""Snatch""....and so it's not surprising I'd see ""The Gentlemen"". And, like these other films, it's near perfect...and a film you ought to see if you have the stomach for this sort of story.So this leads me to a huge warning. This is NOT a family-friendly film nor one you want to show your mother or Father Jenkins if he stops by for a visit. There's ample cursing, loads of violence, vomit galore, and the story is about bad people...very bad people.The story is complicated...and goes together like a finely crafted puzzle. It concerns a marijuana czar in Britain, Michael Pearson (Matthew McConaughey) and his desire to sell out and retire to a life of ease and sophistication. However, after making an offer to a rival drug kingpin, suddenly everything goes haywire....folks start dying, farms growing the stuff are hit and an all-out war seems inevitable. There's WAY more to the story than this...but since it's so complex, it's best you just see it to appreciate it.The bottom line is that Guy Ritchie can write and direct amazing films...and this one is truly amazing and entertaining. Apart from his misguided vanity project, ""Swept Away"", his output has been impressive and I cannot stress enough what a quality product this film is. My only MINOR quibble is what about the Russian mobster.....what happens with him? This isn't really dealt with in the film and seems a bit like a dangling plot point.","4 April 2020","9/10"
"The Gentelmen","Guy Ritchie","kosmasp","Yes, I am tempted to say he's back. It's not that he went away or didn't have at least some decent movies over the last few years. I haven't seen Aladdin, but it was succesful sort of. But this is right up his alley! This is pure and enjoyable Guy Ritchie, with timeline cuts and jumps and characters that one may think only he can write.It's so great to see Matthew McConaughey joining the ranks, being a substitue for Jason Statham I reckon. But also having Hugh Grant in this ... role/character. Genius! Who'd have thunk it, and he kills it (no pun intended). At least a few twists will be easy to spot, but I don't think one can guess everything. Even so, the movie is so well made, it won't really matter. If you like the genre, this is the one to watch. Fun and thrilling to the end ...","1 January 2020","9/10"
"The Gentelmen","Guy's Best Since Snatch.","sala151183","It's Guy Ritchies Best since Snatch, it's where he is most playful and comfortable in a film genre he knows well.
The Cast is perfectly picked, especially Hugh Grant giving a different but yet so funny performance.
Sit back and enjoy 2 hours of a British crime drama, which doesn't take itself too serious
If we hadn't had lock stock or snatch then this would possibly looked at in a more classic Ritchie film so don't expect it to be as great as those.","3 January 2020","8/10"
"The Gentelmen","Perfect slow burn","muamba_eats_toast","At first I thought it started a little slowly but in hindsight it was just right. A perfect execution of a classic British gangster film epitomised by a charismatic Colin Farrell who stole every scene he entered and left me crying out for a coach spin off. All in all very enjoyable classic guy ritchie film.","26 January 2020","9/10"
"The Gentelmen","Ritchie Back In Form","boblipton","Matthew McConaughey, who has become one of the major players in the British weed trade through science, paying poor noblemen to let him stash his farms on their property, and a judicious amount of leg-breaking, thinks it's time to retire. He offers to sell his business to a fellow entrepreneur for £400,000,000, but other people in the illegal fun trade have their own agendas.Guy Ritchie has returned to his early themes of violence, chaos, and rock&roll from his early career, and has scored a definite hit, with some fine performances, including a blank-faced one by Charlie Hunnam and an outsized comedy turn by Colin Farrell. Hugh Grant does well as the unwanted on-screen narrator of events, putting them into some order; I am impressed by his lack of a posh accent, event as I wished Ritchie had been able to think of a better way of telling the audience the story.Even with that cavil, the unceasing action and insanity kept me more than interested throughout.","10 April 2023","8/10"
"The Gentelmen","A Pure masterpiece","GusherPop","Guy Ritchie's ""The Gentlemen"" plays like a tall tale, filled with exaggerations and embellishments, where the storyteller expects you to pay his bar tab at the end. The narrator is a conniving private detective named Fletcher (Hugh Grant), who sets out to blackmail everyone with a screenplay he's written. The screenplay is called ""BUSH,"" bush being a euphemism for ""marijuana"" and is a complicated tale about the ""turf war"" in the marijuana business. The ""bush"" double entendre is also present, just for the chuckles factor. Mickey Pearson (Matthew McConaughey) is an American who sees an opportunity in the languishing English aristocracy. He is married to Roz (Michelle Dockery), a ""Cockney cleopatra"" who runs an auto body shop with only women mechanics. Mickey loves his wife and is ready to retire from the weed business. Two rivals emerge as potential buyers: an American Jewish billionaire and a Chinese-Cockney gangster named Dry Eye. Colin Farrell's ""Coach"" is an Irish guy who runs a boxing club. Mickey's right-hand man is Ray (Charlie Hunnan), a mild-mannered man who looks like a desk clerk until you see him in action. The ""gentlemen"" of the title is clearly meant sarcastically. Hugh Grant gives an extraordinary performance in ""The Gentlemen"". The script, which Ritchie co-wrote with Ivan Atkinson and Marn Davies, plays around with genre tropes, but the overriding structure is Fletcher ""pitching"" his script to an increasingly horrified Ray. This ""pitch"" goes on for the entirety of the film, and so as scenes unfold, it is as though the scenes emanate from Fletcher's imagination, when in reality we are seeing what really happened. Guy Ritchie's latest gangster comedy presents itself as a harmless romp, but behind its wink-wink-nudge-nudge humour is a bitter and dated worldview. Mickey Pearson (Matthew McConaughey) is an American interloper and marijuana dealer who wants out of the game. He hopes to liquidate his weed-farm empire, and interested buyers include Jewish-American billionaire Matthew Berger (Jeremy Strong) and Chinese mobster ""Dry Eye"" (Crazy Rich Asians' Henry Golding). We learn of Mickey's plans and their inevitable unravelling through a screenplay written by sleazy private investigator and aspiring screenwriter Fletcher (Hugh Grant). The screenplay is, of course, blackmail, with which Fletcher hopes to exploit Mickey. Ritchie's signature sweary patter is enjoyable, except for the racism, which is especially pointed given the racial delineation of the film's heroes and villains. Fletcher is a parasite, one of those tabloid ""writers"" who loves to be ""in"" on things, and sees people and their reputations as disposable. The entire script is a script within a script, and this is its ace in the hole: there is always one layer between us and the characters. Hugh Grant has become a formidable character actor in the last couple of years, taking full advantage of his options. The one-two punch of ""Paddington 2"" and ""A Very English Scandal"" is a perfect example of this, as Grant is using all of these other acting muscles he normally hadn't been asked to use, and he's thrilling in a role which is mostly exposition. There's one moment where he puts his hand on Hunnam's knee, realizes it's an unwelcome touch, and goes into this wild pop-eyed, ""Oopsie #sorrynotsorry"" facial expression. It's his favorite kind of humor, character-based, behavior-based, and he acts as his own gravitational force. Mickey Pearson may be the lead, but it's Fletcher who gets the last word.","1 September 2020","10/10"
"The Gentelmen","""I'm basing my crescendo on the sum of it's parts.""","classicsoncall","After seeing the film at an advanced screening I was left pleasently surprised. It is one of the best crime films I have watched and the best from Guy Ritchie...even better than Snatch and Lock Stock, which is something.From the acting to the story, cinematography, pacing, dialogue, humour and overall enjoyment I cannot fault it...10/10. Special credit goes to Colin Farrell and his acting.We dont really get movies like this anymore. Movies these days are cheap money grabbers and superhero films. This is a whole different class of film","1 January 2020","9/10"
"The Gentelmen","A ruthless first-class kick in the teeth!","eelen-seth","This is a typical Guy Ritchie movie, there is a story, it isn't always easy to follow, but style is even more important. Matthew McConaughey is American Mickey Pearson who went to England as a young man on a Rhodes Scholarship. He soon learned that he had a knack for selling drugs to fellow students and that eventually blossomed into his vocation on a very broad scale. Now in middle age has decided to sell his marijuana empire, which included a dozen well-hidden farms, and retire to a leisurely life and maybe have a few rug rats with his beautiful and devoted wife. The price? Just 400 million British Pounds.As the news of that gets around a number of shady operators want to get their cuts from a number of devious means. So the movie is mainly about that and how Mickey and those loyal to him devise methods to protect him and his investments. The cast includes a number of well-known actors and the roles are uniformly interesting.This is a good movie for those who appreciate and enjoy this type of British underworld movie, there aren't really any characters who are good people, there are just different degrees of badness.I watched it at home on BluRay from my public library, my wife skipped, not her kind of movie.","2 January 2020","9/10"
"The Gentelmen","Guy Richie back to his best","pobratim","The writing, directing, acting and the general production are all top notch. I have not had this much fun watching a movie in a long time. This will go down as a cult classic, so do not miss it.","26 June 2020","10/10"
"The Gentelmen","Ritchie returns to the crime genre and does so masterfully","jtindahouse","Has there ever been a bad performance in a Guy Ritchie movie? If there has I haven't noticed it. He has an ornate ability to take average actors and make them great, and to take already great actors and get even more out of them. There are a few directors around who specialise in this but Ritchie is right near the top. The cast in 'The Gentlemen' is admittedly fantastic, but it doesn't change the fact that they are an absolute treat to watch. Matthew McConaughey is in his element in a role that he was born to play, Charlie Hunnam plays one of the coolest characters I've seen perfectly, Colin Farrell is hilarious and ridiculously cool as well and then Hugh Grant gives one of the best performances I've ever seen from him. In fact Grant was so good I didn't even recognise his voice and had to wonder if they'd dubbed it. They hadn't, he'd just nailed it.The style this movie possesses is just so much fun to watch. If you've seen any of Ritchie's previous similar films ('Lock, Stock and Two Smoking Barrels', 'Snatch', 'RocknRolla') then you know what I'm talking about. The pacing moves at lightning speed, the dialogue is quick, clever and deeper than you first realise and the conflict is always multi-layered. This one is actually told in quite a unique way with a couple of characters going over events that have already happened and it works masterfully. It breaks the story up and gives room for creativity in the story-telling process and also humour.Every time I see that Ritchie has made a movie that isn't a crime-thriller I get a little disappointed. It's not that the other stuff he's doing is bad ('Swept Away' being an obvious exception), it's just that he is so damn good as this style of movie. He's the best in the business and if he only did these for the rest of his career I'd be a very happy man. This is an excellent movie well worth your time and money.","13 September 2020","9/10"
"The Gentelmen","That's Hugh Grant?! It seems so unlike him in his other films!","planktonrules","Aside from a few very marketable films like ""Sherlock Holmes: A Game of Shadows"" and ""Aladdin"", Guy Ritchie is a writer/director who makes incredibly violent films. That is, incredibly violent films which are also brilliantly constructed and near perfect. While I rarely ever watch violent films, I eagerly look for his next dark British crime film, after seeing his ""Lock, Stock and Two Smoking Barrels"" and ""Snatch""....and so it's not surprising I'd see ""The Gentlemen"". And, like these other films, it's near perfect...and a film you ought to see if you have the stomach for this sort of story.So this leads me to a huge warning. This is NOT a family-friendly film nor one you want to show your mother or Father Jenkins if he stops by for a visit. There's ample cursing, loads of violence, vomit galore, and the story is about bad people...very bad people.The story is complicated...and goes together like a finely crafted puzzle. It concerns a marijuana czar in Britain, Michael Pearson (Matthew McConaughey) and his desire to sell out and retire to a life of ease and sophistication. However, after making an offer to a rival drug kingpin, suddenly everything goes haywire....folks start dying, farms growing the stuff are hit and an all-out war seems inevitable. There's WAY more to the story than this...but since it's so complex, it's best you just see it to appreciate it.The bottom line is that Guy Ritchie can write and direct amazing films...and this one is truly amazing and entertaining. Apart from his misguided vanity project, ""Swept Away"", his output has been impressive and I cannot stress enough what a quality product this film is. My only MINOR quibble is what about the Russian mobster.....what happens with him? This isn't really dealt with in the film and seems a bit like a dangling plot point.","4 April 2020","9/10"
"The Gentelmen","Guy Ritchie","kosmasp","Yes, I am tempted to say he's back. It's not that he went away or didn't have at least some decent movies over the last few years. I haven't seen Aladdin, but it was succesful sort of. But this is right up his alley! This is pure and enjoyable Guy Ritchie, with timeline cuts and jumps and characters that one may think only he can write.It's so great to see Matthew McConaughey joining the ranks, being a substitue for Jason Statham I reckon. But also having Hugh Grant in this ... role/character. Genius! Who'd have thunk it, and he kills it (no pun intended). At least a few twists will be easy to spot, but I don't think one can guess everything. Even so, the movie is so well made, it won't really matter. If you like the genre, this is the one to watch. Fun and thrilling to the end ...","1 January 2020","9/10"
"The Gentelmen","Guy's Best Since Snatch.","sala151183","It's Guy Ritchies Best since Snatch, it's where he is most playful and comfortable in a film genre he knows well.
The Cast is perfectly picked, especially Hugh Grant giving a different but yet so funny performance.
Sit back and enjoy 2 hours of a British crime drama, which doesn't take itself too serious
If we hadn't had lock stock or snatch then this would possibly looked at in a more classic Ritchie film so don't expect it to be as great as those.","3 January 2020","8/10"
"The Gentelmen","Perfect slow burn","muamba_eats_toast","At first I thought it started a little slowly but in hindsight it was just right. A perfect execution of a classic British gangster film epitomised by a charismatic Colin Farrell who stole every scene he entered and left me crying out for a coach spin off. All in all very enjoyable classic guy ritchie film.","26 January 2020","9/10"
"The Gentelmen","Ritchie Back In Form","boblipton","Matthew McConaughey, who has become one of the major players in the British weed trade through science, paying poor noblemen to let him stash his farms on their property, and a judicious amount of leg-breaking, thinks it's time to retire. He offers to sell his business to a fellow entrepreneur for £400,000,000, but other people in the illegal fun trade have their own agendas.Guy Ritchie has returned to his early themes of violence, chaos, and rock&roll from his early career, and has scored a definite hit, with some fine performances, including a blank-faced one by Charlie Hunnam and an outsized comedy turn by Colin Farrell. Hugh Grant does well as the unwanted on-screen narrator of events, putting them into some order; I am impressed by his lack of a posh accent, event as I wished Ritchie had been able to think of a better way of telling the audience the story.Even with that cavil, the unceasing action and insanity kept me more than interested throughout.","10 April 2023","8/10"
"The Gentelmen","A Pure masterpiece","GusherPop","Guy Ritchie's ""The Gentlemen"" plays like a tall tale, filled with exaggerations and embellishments, where the storyteller expects you to pay his bar tab at the end. The narrator is a conniving private detective named Fletcher (Hugh Grant), who sets out to blackmail everyone with a screenplay he's written. The screenplay is called ""BUSH,"" bush being a euphemism for ""marijuana"" and is a complicated tale about the ""turf war"" in the marijuana business. The ""bush"" double entendre is also present, just for the chuckles factor. Mickey Pearson (Matthew McConaughey) is an American who sees an opportunity in the languishing English aristocracy. He is married to Roz (Michelle Dockery), a ""Cockney cleopatra"" who runs an auto body shop with only women mechanics. Mickey loves his wife and is ready to retire from the weed business. Two rivals emerge as potential buyers: an American Jewish billionaire and a Chinese-Cockney gangster named Dry Eye. Colin Farrell's ""Coach"" is an Irish guy who runs a boxing club. Mickey's right-hand man is Ray (Charlie Hunnan), a mild-mannered man who looks like a desk clerk until you see him in action. The ""gentlemen"" of the title is clearly meant sarcastically. Hugh Grant gives an extraordinary performance in ""The Gentlemen"". The script, which Ritchie co-wrote with Ivan Atkinson and Marn Davies, plays around with genre tropes, but the overriding structure is Fletcher ""pitching"" his script to an increasingly horrified Ray. This ""pitch"" goes on for the entirety of the film, and so as scenes unfold, it is as though the scenes emanate from Fletcher's imagination, when in reality we are seeing what really happened. Guy Ritchie's latest gangster comedy presents itself as a harmless romp, but behind its wink-wink-nudge-nudge humour is a bitter and dated worldview. Mickey Pearson (Matthew McConaughey) is an American interloper and marijuana dealer who wants out of the game. He hopes to liquidate his weed-farm empire, and interested buyers include Jewish-American billionaire Matthew Berger (Jeremy Strong) and Chinese mobster ""Dry Eye"" (Crazy Rich Asians' Henry Golding). We learn of Mickey's plans and their inevitable unravelling through a screenplay written by sleazy private investigator and aspiring screenwriter Fletcher (Hugh Grant). The screenplay is, of course, blackmail, with which Fletcher hopes to exploit Mickey. Ritchie's signature sweary patter is enjoyable, except for the racism, which is especially pointed given the racial delineation of the film's heroes and villains. Fletcher is a parasite, one of those tabloid ""writers"" who loves to be ""in"" on things, and sees people and their reputations as disposable. The entire script is a script within a script, and this is its ace in the hole: there is always one layer between us and the characters. Hugh Grant has become a formidable character actor in the last couple of years, taking full advantage of his options. The one-two punch of ""Paddington 2"" and ""A Very English Scandal"" is a perfect example of this, as Grant is using all of these other acting muscles he normally hadn't been asked to use, and he's thrilling in a role which is mostly exposition. There's one moment where he puts his hand on Hunnam's knee, realizes it's an unwelcome touch, and goes into this wild pop-eyed, ""Oopsie #sorrynotsorry"" facial expression. It's his favorite kind of humor, character-based, behavior-based, and he acts as his own gravitational force. Mickey Pearson may be the lead, but it's Fletcher who gets the last word.","1 September 2020","10/10"
"The Gentelmen","""I'm basing my crescendo on the sum of it's parts.""","classicsoncall","After seeing the film at an advanced screening I was left pleasently surprised. It is one of the best crime films I have watched and the best from Guy Ritchie...even better than Snatch and Lock Stock, which is something.From the acting to the story, cinematography, pacing, dialogue, humour and overall enjoyment I cannot fault it...10/10. Special credit goes to Colin Farrell and his acting.We dont really get movies like this anymore. Movies these days are cheap money grabbers and superhero films. This is a whole different class of film","1 January 2020","9/10"
"The Gentelmen","A ruthless first-class kick in the teeth!","eelen-seth","This is a typical Guy Ritchie movie, there is a story, it isn't always easy to follow, but style is even more important. Matthew McConaughey is American Mickey Pearson who went to England as a young man on a Rhodes Scholarship. He soon learned that he had a knack for selling drugs to fellow students and that eventually blossomed into his vocation on a very broad scale. Now in middle age has decided to sell his marijuana empire, which included a dozen well-hidden farms, and retire to a leisurely life and maybe have a few rug rats with his beautiful and devoted wife. The price? Just 400 million British Pounds.As the news of that gets around a number of shady operators want to get their cuts from a number of devious means. So the movie is mainly about that and how Mickey and those loyal to him devise methods to protect him and his investments. The cast includes a number of well-known actors and the roles are uniformly interesting.This is a good movie for those who appreciate and enjoy this type of British underworld movie, there aren't really any characters who are good people, there are just different degrees of badness.I watched it at home on BluRay from my public library, my wife skipped, not her kind of movie.","2 January 2020","9/10"
"The Gentelmen","Guy Richie back to his best","pobratim","The writing, directing, acting and the general production are all top notch. I have not had this much fun watching a movie in a long time. This will go down as a cult classic, so do not miss it.","26 June 2020","10/10"
"The Gentelmen","Ritchie returns to the crime genre and does so masterfully","jtindahouse","Has there ever been a bad performance in a Guy Ritchie movie? If there has I haven't noticed it. He has an ornate ability to take average actors and make them great, and to take already great actors and get even more out of them. There are a few directors around who specialise in this but Ritchie is right near the top. The cast in 'The Gentlemen' is admittedly fantastic, but it doesn't change the fact that they are an absolute treat to watch. Matthew McConaughey is in his element in a role that he was born to play, Charlie Hunnam plays one of the coolest characters I've seen perfectly, Colin Farrell is hilarious and ridiculously cool as well and then Hugh Grant gives one of the best performances I've ever seen from him. In fact Grant was so good I didn't even recognise his voice and had to wonder if they'd dubbed it. They hadn't, he'd just nailed it.The style this movie possesses is just so much fun to watch. If you've seen any of Ritchie's previous similar films ('Lock, Stock and Two Smoking Barrels', 'Snatch', 'RocknRolla') then you know what I'm talking about. The pacing moves at lightning speed, the dialogue is quick, clever and deeper than you first realise and the conflict is always multi-layered. This one is actually told in quite a unique way with a couple of characters going over events that have already happened and it works masterfully. It breaks the story up and gives room for creativity in the story-telling process and also humour.Every time I see that Ritchie has made a movie that isn't a crime-thriller I get a little disappointed. It's not that the other stuff he's doing is bad ('Swept Away' being an obvious exception), it's just that he is so damn good as this style of movie. He's the best in the business and if he only did these for the rest of his career I'd be a very happy man. This is an excellent movie well worth your time and money.","13 September 2020","9/10"
