"movie_name","title","reviewer","review","date","ratings"
"the gentelmen","ritchie returns to the crime genre and does so masterfully","jtindahouse","has there ever been a bad performance in a guy ritchie movie if there has i havent noticed it he has an ornate ability to take average actors and make them great and to take already great actors and get even more out of them there are a few directors around who specialise in this but ritchie is right near the top the cast in the gentlemen is admittedly fantastic but it doesnt change the fact that they are an absolute treat to watch matthew mcconaughey is in his element in a role that he was born to play charlie hunnam plays one of the coolest characters ive seen perfectly colin farrell is hilarious and ridiculously cool as well and then hugh grant gives one of the best performances ive ever seen from him in fact grant was so good i didnt even recognise his voice and had to wonder if theyd dubbed it they hadnt hed just nailed itthe style this movie possesses is just so much fun to watch if youve seen any of ritchies previous similar films lock stock and two smoking barrels snatch rocknrolla then you know what im talking about the pacing moves at lightning speed the dialogue is quick clever and deeper than you first realise and the conflict is always multilayered this one is actually told in quite a unique way with a couple of characters going over events that have already happened and it works masterfully it breaks the story up and gives room for creativity in the storytelling process and also humourevery time i see that ritchie has made a movie that isnt a crimethriller i get a little disappointed its not that the other stuff hes doing is bad swept away being an obvious exception its just that he is so damn good as this style of movie hes the best in the business and if he only did these for the rest of his career id be a very happy man this is an excellent movie well worth your time and money",2020-09-13,NA
"the gentelmen","thats hugh grant it seems so unlike him in his other films","planktonrules","aside from a few very marketable films like sherlock holmes a game of shadows and aladdin guy ritchie is a writerdirector who makes incredibly violent films that is incredibly violent films which are also brilliantly constructed and near perfect while i rarely ever watch violent films i eagerly look for his next dark british crime film after seeing his lock stock and two smoking barrels and snatchand so its not surprising id see the gentlemen and like these other films its near perfectand a film you ought to see if you have the stomach for this sort of storyso this leads me to a huge warning this is not a familyfriendly film nor one you want to show your mother or father jenkins if he stops by for a visit theres ample cursing loads of violence vomit galore and the story is about bad peoplevery bad peoplethe story is complicatedand goes together like a finely crafted puzzle it concerns a marijuana czar in britain michael pearson matthew mcconaughey and his desire to sell out and retire to a life of ease and sophistication however after making an offer to a rival drug kingpin suddenly everything goes haywirefolks start dying farms growing the stuff are hit and an allout war seems inevitable theres way more to the story than thisbut since its so complex its best you just see it to appreciate itthe bottom line is that guy ritchie can write and direct amazing filmsand this one is truly amazing and entertaining apart from his misguided vanity project swept away his output has been impressive and i cannot stress enough what a quality product this film is my only minor quibble is what about the russian mobsterwhat happens with him this isnt really dealt with in the film and seems a bit like a dangling plot point",2020-04-04,NA
"the gentelmen","guy ritchie","kosmasp","yes i am tempted to say hes back its not that he went away or didnt have at least some decent movies over the last few years i havent seen aladdin but it was succesful sort of but this is right up his alley this is pure and enjoyable guy ritchie with timeline cuts and jumps and characters that one may think only he can writeits so great to see matthew mcconaughey joining the ranks being a substitue for jason statham i reckon but also having hugh grant in this  rolecharacter genius whod have thunk it and he kills it no pun intended at least a few twists will be easy to spot but i dont think one can guess everything even so the movie is so well made it wont really matter if you like the genre this is the one to watch fun and thrilling to the end ",2020-01-01,NA
"the gentelmen","guys best since snatch","sala","its guy ritchies best since snatch its where he is most playful and comfortable in a film genre he knows wellthe cast is perfectly picked especially hugh grant giving a different but yet so funny performancesit back and enjoy  hours of a british crime drama which doesnt take itself too seriousif we hadnt had lock stock or snatch then this would possibly looked at in a more classic ritchie film so dont expect it to be as great as those",2020-01-03,NA
"the gentelmen","perfect slow burn","muambaeatstoast","at first i thought it started a little slowly but in hindsight it was just right a perfect execution of a classic british gangster film epitomised by a charismatic colin farrell who stole every scene he entered and left me crying out for a coach spin off all in all very enjoyable classic guy ritchie film",2020-01-26,NA
"the gentelmen","ritchie back in form","boblipton","matthew mcconaughey who has become one of the major players in the british weed trade through science paying poor noblemen to let him stash his farms on their property and a judicious amount of legbreaking thinks its time to retire he offers to sell his business to a fellow entrepreneur for  but other people in the illegal fun trade have their own agendasguy ritchie has returned to his early themes of violence chaos and rockroll from his early career and has scored a definite hit with some fine performances including a blankfaced one by charlie hunnam and an outsized comedy turn by colin farrell hugh grant does well as the unwanted onscreen narrator of events putting them into some order i am impressed by his lack of a posh accent event as i wished ritchie had been able to think of a better way of telling the audience the storyeven with that cavil the unceasing action and insanity kept me more than interested throughout",2023-04-10,NA
"the gentelmen","a pure masterpiece","gusherpop","guy ritchies the gentlemen plays like a tall tale filled with exaggerations and embellishments where the storyteller expects you to pay his bar tab at the end the narrator is a conniving private detective named fletcher hugh grant who sets out to blackmail everyone with a screenplay hes written the screenplay is called bush bush being a euphemism for marijuana and is a complicated tale about the turf war in the marijuana business the bush double entendre is also present just for the chuckles factor mickey pearson matthew mcconaughey is an american who sees an opportunity in the languishing english aristocracy he is married to roz michelle dockery a cockney cleopatra who runs an auto body shop with only women mechanics mickey loves his wife and is ready to retire from the weed business two rivals emerge as potential buyers an american jewish billionaire and a chinesecockney gangster named dry eye colin farrells coach is an irish guy who runs a boxing club mickeys righthand man is ray charlie hunnan a mildmannered man who looks like a desk clerk until you see him in action the gentlemen of the title is clearly meant sarcastically hugh grant gives an extraordinary performance in the gentlemen the script which ritchie cowrote with ivan atkinson and marn davies plays around with genre tropes but the overriding structure is fletcher pitching his script to an increasingly horrified ray this pitch goes on for the entirety of the film and so as scenes unfold it is as though the scenes emanate from fletchers imagination when in reality we are seeing what really happened guy ritchies latest gangster comedy presents itself as a harmless romp but behind its winkwinknudgenudge humour is a bitter and dated worldview mickey pearson matthew mcconaughey is an american interloper and marijuana dealer who wants out of the game he hopes to liquidate his weedfarm empire and interested buyers include jewishamerican billionaire matthew berger jeremy strong and chinese mobster dry eye crazy rich asians henry golding we learn of mickeys plans and their inevitable unravelling through a screenplay written by sleazy private investigator and aspiring screenwriter fletcher hugh grant the screenplay is of course blackmail with which fletcher hopes to exploit mickey ritchies signature sweary patter is enjoyable except for the racism which is especially pointed given the racial delineation of the films heroes and villains fletcher is a parasite one of those tabloid writers who loves to be in on things and sees people and their reputations as disposable the entire script is a script within a script and this is its ace in the hole there is always one layer between us and the characters hugh grant has become a formidable character actor in the last couple of years taking full advantage of his options the onetwo punch of paddington  and a very english scandal is a perfect example of this as grant is using all of these other acting muscles he normally hadnt been asked to use and hes thrilling in a role which is mostly exposition theres one moment where he puts his hand on hunnams knee realizes its an unwelcome touch and goes into this wild popeyed oopsie sorrynotsorry facial expression its his favorite kind of humor characterbased behaviorbased and he acts as his own gravitational force mickey pearson may be the lead but its fletcher who gets the last word",2020-09-01,NA
"the gentelmen","im basing my crescendo on the sum of its parts","classicsoncall","after seeing the film at an advanced screening i was left pleasently surprised it is one of the best crime films i have watched and the best from guy ritchieeven better than snatch and lock stock which is somethingfrom the acting to the story cinematography pacing dialogue humour and overall enjoyment i cannot fault it special credit goes to colin farrell and his actingwe dont really get movies like this anymore movies these days are cheap money grabbers and superhero films this is a whole different class of film",2020-01-01,NA
"the gentelmen","a ruthless firstclass kick in the teeth","eelenseth","this is a typical guy ritchie movie there is a story it isnt always easy to follow but style is even more important matthew mcconaughey is american mickey pearson who went to england as a young man on a rhodes scholarship he soon learned that he had a knack for selling drugs to fellow students and that eventually blossomed into his vocation on a very broad scale now in middle age has decided to sell his marijuana empire which included a dozen wellhidden farms and retire to a leisurely life and maybe have a few rug rats with his beautiful and devoted wife the price just  million british poundsas the news of that gets around a number of shady operators want to get their cuts from a number of devious means so the movie is mainly about that and how mickey and those loyal to him devise methods to protect him and his investments the cast includes a number of wellknown actors and the roles are uniformly interestingthis is a good movie for those who appreciate and enjoy this type of british underworld movie there arent really any characters who are good people there are just different degrees of badnessi watched it at home on bluray from my public library my wife skipped not her kind of movie",2020-01-02,NA
"the gentelmen","guy richie back to his best","pobratim","the writing directing acting and the general production are all top notch i have not had this much fun watching a movie in a long time this will go down as a cult classic so do not miss it",2020-06-26,NA
"the gentelmen","ritchie returns to the crime genre and does so masterfully","jtindahouse","has there ever been a bad performance in a guy ritchie movie if there has i havent noticed it he has an ornate ability to take average actors and make them great and to take already great actors and get even more out of them there are a few directors around who specialise in this but ritchie is right near the top the cast in the gentlemen is admittedly fantastic but it doesnt change the fact that they are an absolute treat to watch matthew mcconaughey is in his element in a role that he was born to play charlie hunnam plays one of the coolest characters ive seen perfectly colin farrell is hilarious and ridiculously cool as well and then hugh grant gives one of the best performances ive ever seen from him in fact grant was so good i didnt even recognise his voice and had to wonder if theyd dubbed it they hadnt hed just nailed itthe style this movie possesses is just so much fun to watch if youve seen any of ritchies previous similar films lock stock and two smoking barrels snatch rocknrolla then you know what im talking about the pacing moves at lightning speed the dialogue is quick clever and deeper than you first realise and the conflict is always multilayered this one is actually told in quite a unique way with a couple of characters going over events that have already happened and it works masterfully it breaks the story up and gives room for creativity in the storytelling process and also humourevery time i see that ritchie has made a movie that isnt a crimethriller i get a little disappointed its not that the other stuff hes doing is bad swept away being an obvious exception its just that he is so damn good as this style of movie hes the best in the business and if he only did these for the rest of his career id be a very happy man this is an excellent movie well worth your time and money",2020-09-13,NA
"the gentelmen","thats hugh grant it seems so unlike him in his other films","planktonrules","aside from a few very marketable films like sherlock holmes a game of shadows and aladdin guy ritchie is a writerdirector who makes incredibly violent films that is incredibly violent films which are also brilliantly constructed and near perfect while i rarely ever watch violent films i eagerly look for his next dark british crime film after seeing his lock stock and two smoking barrels and snatchand so its not surprising id see the gentlemen and like these other films its near perfectand a film you ought to see if you have the stomach for this sort of storyso this leads me to a huge warning this is not a familyfriendly film nor one you want to show your mother or father jenkins if he stops by for a visit theres ample cursing loads of violence vomit galore and the story is about bad peoplevery bad peoplethe story is complicatedand goes together like a finely crafted puzzle it concerns a marijuana czar in britain michael pearson matthew mcconaughey and his desire to sell out and retire to a life of ease and sophistication however after making an offer to a rival drug kingpin suddenly everything goes haywirefolks start dying farms growing the stuff are hit and an allout war seems inevitable theres way more to the story than thisbut since its so complex its best you just see it to appreciate itthe bottom line is that guy ritchie can write and direct amazing filmsand this one is truly amazing and entertaining apart from his misguided vanity project swept away his output has been impressive and i cannot stress enough what a quality product this film is my only minor quibble is what about the russian mobsterwhat happens with him this isnt really dealt with in the film and seems a bit like a dangling plot point",2020-04-04,NA
"the gentelmen","guy ritchie","kosmasp","yes i am tempted to say hes back its not that he went away or didnt have at least some decent movies over the last few years i havent seen aladdin but it was succesful sort of but this is right up his alley this is pure and enjoyable guy ritchie with timeline cuts and jumps and characters that one may think only he can writeits so great to see matthew mcconaughey joining the ranks being a substitue for jason statham i reckon but also having hugh grant in this  rolecharacter genius whod have thunk it and he kills it no pun intended at least a few twists will be easy to spot but i dont think one can guess everything even so the movie is so well made it wont really matter if you like the genre this is the one to watch fun and thrilling to the end ",2020-01-01,NA
"the gentelmen","guys best since snatch","sala","its guy ritchies best since snatch its where he is most playful and comfortable in a film genre he knows wellthe cast is perfectly picked especially hugh grant giving a different but yet so funny performancesit back and enjoy  hours of a british crime drama which doesnt take itself too seriousif we hadnt had lock stock or snatch then this would possibly looked at in a more classic ritchie film so dont expect it to be as great as those",2020-01-03,NA
"the gentelmen","perfect slow burn","muambaeatstoast","at first i thought it started a little slowly but in hindsight it was just right a perfect execution of a classic british gangster film epitomised by a charismatic colin farrell who stole every scene he entered and left me crying out for a coach spin off all in all very enjoyable classic guy ritchie film",2020-01-26,NA
"the gentelmen","ritchie back in form","boblipton","matthew mcconaughey who has become one of the major players in the british weed trade through science paying poor noblemen to let him stash his farms on their property and a judicious amount of legbreaking thinks its time to retire he offers to sell his business to a fellow entrepreneur for  but other people in the illegal fun trade have their own agendasguy ritchie has returned to his early themes of violence chaos and rockroll from his early career and has scored a definite hit with some fine performances including a blankfaced one by charlie hunnam and an outsized comedy turn by colin farrell hugh grant does well as the unwanted onscreen narrator of events putting them into some order i am impressed by his lack of a posh accent event as i wished ritchie had been able to think of a better way of telling the audience the storyeven with that cavil the unceasing action and insanity kept me more than interested throughout",2023-04-10,NA
"the gentelmen","a pure masterpiece","gusherpop","guy ritchies the gentlemen plays like a tall tale filled with exaggerations and embellishments where the storyteller expects you to pay his bar tab at the end the narrator is a conniving private detective named fletcher hugh grant who sets out to blackmail everyone with a screenplay hes written the screenplay is called bush bush being a euphemism for marijuana and is a complicated tale about the turf war in the marijuana business the bush double entendre is also present just for the chuckles factor mickey pearson matthew mcconaughey is an american who sees an opportunity in the languishing english aristocracy he is married to roz michelle dockery a cockney cleopatra who runs an auto body shop with only women mechanics mickey loves his wife and is ready to retire from the weed business two rivals emerge as potential buyers an american jewish billionaire and a chinesecockney gangster named dry eye colin farrells coach is an irish guy who runs a boxing club mickeys righthand man is ray charlie hunnan a mildmannered man who looks like a desk clerk until you see him in action the gentlemen of the title is clearly meant sarcastically hugh grant gives an extraordinary performance in the gentlemen the script which ritchie cowrote with ivan atkinson and marn davies plays around with genre tropes but the overriding structure is fletcher pitching his script to an increasingly horrified ray this pitch goes on for the entirety of the film and so as scenes unfold it is as though the scenes emanate from fletchers imagination when in reality we are seeing what really happened guy ritchies latest gangster comedy presents itself as a harmless romp but behind its winkwinknudgenudge humour is a bitter and dated worldview mickey pearson matthew mcconaughey is an american interloper and marijuana dealer who wants out of the game he hopes to liquidate his weedfarm empire and interested buyers include jewishamerican billionaire matthew berger jeremy strong and chinese mobster dry eye crazy rich asians henry golding we learn of mickeys plans and their inevitable unravelling through a screenplay written by sleazy private investigator and aspiring screenwriter fletcher hugh grant the screenplay is of course blackmail with which fletcher hopes to exploit mickey ritchies signature sweary patter is enjoyable except for the racism which is especially pointed given the racial delineation of the films heroes and villains fletcher is a parasite one of those tabloid writers who loves to be in on things and sees people and their reputations as disposable the entire script is a script within a script and this is its ace in the hole there is always one layer between us and the characters hugh grant has become a formidable character actor in the last couple of years taking full advantage of his options the onetwo punch of paddington  and a very english scandal is a perfect example of this as grant is using all of these other acting muscles he normally hadnt been asked to use and hes thrilling in a role which is mostly exposition theres one moment where he puts his hand on hunnams knee realizes its an unwelcome touch and goes into this wild popeyed oopsie sorrynotsorry facial expression its his favorite kind of humor characterbased behaviorbased and he acts as his own gravitational force mickey pearson may be the lead but its fletcher who gets the last word",2020-09-01,NA
"the gentelmen","im basing my crescendo on the sum of its parts","classicsoncall","after seeing the film at an advanced screening i was left pleasently surprised it is one of the best crime films i have watched and the best from guy ritchieeven better than snatch and lock stock which is somethingfrom the acting to the story cinematography pacing dialogue humour and overall enjoyment i cannot fault it special credit goes to colin farrell and his actingwe dont really get movies like this anymore movies these days are cheap money grabbers and superhero films this is a whole different class of film",2020-01-01,NA
"the gentelmen","a ruthless firstclass kick in the teeth","eelenseth","this is a typical guy ritchie movie there is a story it isnt always easy to follow but style is even more important matthew mcconaughey is american mickey pearson who went to england as a young man on a rhodes scholarship he soon learned that he had a knack for selling drugs to fellow students and that eventually blossomed into his vocation on a very broad scale now in middle age has decided to sell his marijuana empire which included a dozen wellhidden farms and retire to a leisurely life and maybe have a few rug rats with his beautiful and devoted wife the price just  million british poundsas the news of that gets around a number of shady operators want to get their cuts from a number of devious means so the movie is mainly about that and how mickey and those loyal to him devise methods to protect him and his investments the cast includes a number of wellknown actors and the roles are uniformly interestingthis is a good movie for those who appreciate and enjoy this type of british underworld movie there arent really any characters who are good people there are just different degrees of badnessi watched it at home on bluray from my public library my wife skipped not her kind of movie",2020-01-02,NA
"the gentelmen","guy richie back to his best","pobratim","the writing directing acting and the general production are all top notch i have not had this much fun watching a movie in a long time this will go down as a cult classic so do not miss it",2020-06-26,NA
"the gentelmen","ritchie returns to the crime genre and does so masterfully","jtindahouse","has there ever been a bad performance in a guy ritchie movie if there has i havent noticed it he has an ornate ability to take average actors and make them great and to take already great actors and get even more out of them there are a few directors around who specialise in this but ritchie is right near the top the cast in the gentlemen is admittedly fantastic but it doesnt change the fact that they are an absolute treat to watch matthew mcconaughey is in his element in a role that he was born to play charlie hunnam plays one of the coolest characters ive seen perfectly colin farrell is hilarious and ridiculously cool as well and then hugh grant gives one of the best performances ive ever seen from him in fact grant was so good i didnt even recognise his voice and had to wonder if theyd dubbed it they hadnt hed just nailed itthe style this movie possesses is just so much fun to watch if youve seen any of ritchies previous similar films lock stock and two smoking barrels snatch rocknrolla then you know what im talking about the pacing moves at lightning speed the dialogue is quick clever and deeper than you first realise and the conflict is always multilayered this one is actually told in quite a unique way with a couple of characters going over events that have already happened and it works masterfully it breaks the story up and gives room for creativity in the storytelling process and also humourevery time i see that ritchie has made a movie that isnt a crimethriller i get a little disappointed its not that the other stuff hes doing is bad swept away being an obvious exception its just that he is so damn good as this style of movie hes the best in the business and if he only did these for the rest of his career id be a very happy man this is an excellent movie well worth your time and money",2020-09-13,NA
"the gentelmen","thats hugh grant it seems so unlike him in his other films","planktonrules","aside from a few very marketable films like sherlock holmes a game of shadows and aladdin guy ritchie is a writerdirector who makes incredibly violent films that is incredibly violent films which are also brilliantly constructed and near perfect while i rarely ever watch violent films i eagerly look for his next dark british crime film after seeing his lock stock and two smoking barrels and snatchand so its not surprising id see the gentlemen and like these other films its near perfectand a film you ought to see if you have the stomach for this sort of storyso this leads me to a huge warning this is not a familyfriendly film nor one you want to show your mother or father jenkins if he stops by for a visit theres ample cursing loads of violence vomit galore and the story is about bad peoplevery bad peoplethe story is complicatedand goes together like a finely crafted puzzle it concerns a marijuana czar in britain michael pearson matthew mcconaughey and his desire to sell out and retire to a life of ease and sophistication however after making an offer to a rival drug kingpin suddenly everything goes haywirefolks start dying farms growing the stuff are hit and an allout war seems inevitable theres way more to the story than thisbut since its so complex its best you just see it to appreciate itthe bottom line is that guy ritchie can write and direct amazing filmsand this one is truly amazing and entertaining apart from his misguided vanity project swept away his output has been impressive and i cannot stress enough what a quality product this film is my only minor quibble is what about the russian mobsterwhat happens with him this isnt really dealt with in the film and seems a bit like a dangling plot point",2020-04-04,NA
"the gentelmen","guy ritchie","kosmasp","yes i am tempted to say hes back its not that he went away or didnt have at least some decent movies over the last few years i havent seen aladdin but it was succesful sort of but this is right up his alley this is pure and enjoyable guy ritchie with timeline cuts and jumps and characters that one may think only he can writeits so great to see matthew mcconaughey joining the ranks being a substitue for jason statham i reckon but also having hugh grant in this  rolecharacter genius whod have thunk it and he kills it no pun intended at least a few twists will be easy to spot but i dont think one can guess everything even so the movie is so well made it wont really matter if you like the genre this is the one to watch fun and thrilling to the end ",2020-01-01,NA
"the gentelmen","guys best since snatch","sala","its guy ritchies best since snatch its where he is most playful and comfortable in a film genre he knows wellthe cast is perfectly picked especially hugh grant giving a different but yet so funny performancesit back and enjoy  hours of a british crime drama which doesnt take itself too seriousif we hadnt had lock stock or snatch then this would possibly looked at in a more classic ritchie film so dont expect it to be as great as those",2020-01-03,NA
"the gentelmen","perfect slow burn","muambaeatstoast","at first i thought it started a little slowly but in hindsight it was just right a perfect execution of a classic british gangster film epitomised by a charismatic colin farrell who stole every scene he entered and left me crying out for a coach spin off all in all very enjoyable classic guy ritchie film",2020-01-26,NA
"the gentelmen","ritchie back in form","boblipton","matthew mcconaughey who has become one of the major players in the british weed trade through science paying poor noblemen to let him stash his farms on their property and a judicious amount of legbreaking thinks its time to retire he offers to sell his business to a fellow entrepreneur for  but other people in the illegal fun trade have their own agendasguy ritchie has returned to his early themes of violence chaos and rockroll from his early career and has scored a definite hit with some fine performances including a blankfaced one by charlie hunnam and an outsized comedy turn by colin farrell hugh grant does well as the unwanted onscreen narrator of events putting them into some order i am impressed by his lack of a posh accent event as i wished ritchie had been able to think of a better way of telling the audience the storyeven with that cavil the unceasing action and insanity kept me more than interested throughout",2023-04-10,NA
